	essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6	num_words	num_sentences	num_lemmas	num_commas	num_exclamation_marks	num_question_marks	average_word_length	average_sentence_length	num_nouns	num_verbs	num_adjectives	num_adverbs	num_conjunctions	num_spelling_errors	num_stopwords	automated_readability_index	coleman_liau_index	dale_chall_index	difficult_word_count	flesch_kincaid_grade	gunning_fog	linsear_write_formula	smog_index	syllables_count
5984	9540	4	The Author concluded the story like this because she had another view of Saeng. He would think that every season that she would be in a different mood @CAPS1 that the garden would change so that Saeng mom would alway be out side for every season.	0	0		0																						46	2	48	0	0	0	4.369565217391305	23.0	12	4	1	2	0	4	29	10.7	7.96	6.84	3	8.7	10.07	13.0	0.0	62
5990	9546	4	the author conclude this story like that to show a new beginning in the spring. Like how flowers bloom and bud in spring she will become a new better person. that why the author conclude the story like this.	1	1		1																						39	3	42	0	0	0	4.333333333333333	13.0	10	5	3	0	1	3	20	8.7	7.43	5.41	2	7.4	7.8	10.25	0.0	51
5994	9550	4	The author concludes the story with this paragraph to show that Saeng is Finally comfortable with her new “home.” After the passage is mostly a reflection of Saeng’s old life, it ends this way to signify that she has become accustomed to her new way of life. For example, it says “in the spring, and the geese return…” that shows that she is now used to the geese and the nature of her new world. The author also uses that paragraph at the end to show a sense of release. Saeng had so many memories locked inside her old life, that she couldn’t grasp new ones in her new home. The authors use of this paragraph is a good way to close out the story because it lets the reader feel the relaxed scene of the birds flying away; Saeng escaping  her pain and becoming  a real part of her new world.	2	3		3																						153	5	166	4	0	0	4.108974358974359	31.2	39	22	16	6	3	16	81	13.6	7.09	8.15	16	11.7	14.07	14.25	10.8	197
6005	9561	4	In “Winter Hibiscus,” by @CAPS1 Ho, Saeng does not give up, she keeps trying. The author concludes the story with a small paragraph that has an extraordinary meaning. “…in the spring, when the snow melts and the geese return and this hibiscus is budding, then I will take the test again,” by saying this, Saeng shows to never give up, to give new things a fair chance, and to always remember her homeland. The author ended the story in such an inspiring way because it strengthens the theme. There is a lot to be learned from only a few words.	2	2		2																						101	5	114	9	0	0	4.352941176470588	20.4	25	16	9	4	3	18	58	11.9	7.67	8.02	13	9.6	11.31	13.75	9.5	132
6014	9570	4	The author concludes the story with this endding because it shows that if the plant comes back and blooms then she will go back and take the test and try to pass this time. She knows that it is going to be tough for her to come back and pass this test but she knows she can do it just like she knows that the plant will fight through the winter and come back and bloom in the spring. This gives her confidence that she can pass this test if the plant can come through the tough winter that they are going through. As a result, this is why the author ended the story with that.	2	2		2																						116	4	121	1	0	0	3.9741379310344827	29.0	17	23	2	6	7	6	76	11.8	6.11	6.57	5	8.7	11.94	17.0	6.0	131
6020	9576	4	"The story “Winter Hibiscus” is written by Minfong Ho. The author ended the story with this excerpt, ”When they come back, ‘Saeng vowed silently to herself, in the spring, when the snow melts and the geese return and this hibiscus is budding, then I will take the test again.” The reason for this is so she will have time to adjust. Saeng just needs a little comforting because all of this is new to her. This words use figurative language because the geese reminded her of herself, “Almost familiar to her now. Like geese."""	2	1		2																						94	6	106	6	0	0	4.574468085106383	15.666666666666666	21	12	7	6	2	18	52	11.8	8.77	7.49	11	10.1	11.53	13.25	10.1	127
6024	9580	4	The author concludes the story this way to show she will be alright, and remain determined. The way she speaks of future times shows confidence that she will make it till spring. The way she speaks of the test shows her determination. The use of the word “vowed” shows she will follow through with her statement.	1	1		1																						56	4	61	1	0	0	4.589285714285714	14.0	14	10	3	0	1	6	30	7.2	8.23	7.43	7	5.2	7.74	6.75	8.1	72
6035	9591	4	"The author concluded the story with that particular paragraph because it appeared to be an important thought to ""Saeng"" and it was basically the main cause of everything rather the main subject of the story. She also @MONTH1 possibly have concluded the story with that particular paragraph because that was her last and final thought, or memory of her previous life / lifestyle before there present place of living."""	0	0		0																						69	2	75	1	0	0	5.043478260869565	34.5	17	3	9	4	3	5	38	19.7	12.31	8.34	11	16.6	17.13	22.25	0.0	108
6041	9597	4	The author concluds the story with this paragraph to show that next spring she will have anoter chane. The author shows that Saeng will relate to the blooms or the hybiscus plant and take the test again. The author does this to leave a clif haber and it shows there is more to Saeng’s life but it is still to come. In the story Saeng is trys to get used to change and that she is have a hard time. Her moter holes cheer her up but just like the winter comes. Saeng will Have next spring to take the divers test again.	1	2		2																						103	6	109	0	0	0	4.029126213592233	17.166666666666668	25	20	5	4	6	11	64	6.1	5.45	7.1	6	4.1	7.66	7.666666666666666	6.4	117
6052	9608	4	The author concludes the story with that paragraph because it shows the character, Saeng , was going to adapt to their new home and stay strong. I believe, when Saeng’s mother says, “Its flowers aren’t as pretty, but its strong enough to make it through the cold months here, this winter hibiscus,’’ I think Saeng’s mother is also sort of thinking about Saeng Its almost as if she’s saying that the move here scarred Saeng but she will be strong and survive the change likes anyone who has failed a test, she will study more and try hander to pass it next time. Saeng  isn’t going to give up and she’ll keep holding on to make it through Saeng knows it’s hard to adjust to changes to life’s but with a little courage and hard work, it will be a breeze. If she believes in herself, she’ll be able to get situated in this new place.	2	3		3																						156	5	169	10	0	0	4.2993630573248405	31.4	33	29	11	10	8	23	85	18.4	8.02	8.52	13	13.7	16.29	26.0	8.1	190
6055	9611	4	The Hibiscus is budding means that the flower was growing. That is a flower with lots of bright colors and nothing else can beat it. The reason another flower can’t beat it is because that flower represents so much thing and it is one of the most natural born flowers around.	1	1		1																						51	3	54	0	0	0	4.411764705882353	17.0	10	7	3	5	2	4	31	7.8	7.65	7.27	7	7.6	9.15	8.833333333333334	9.7	70
6057	9613	4	"People have to adapt to different cultures if they move. They could do this in a variety of ways, including making new friends and adjusting to the area. However, when adjusting to a new area, you should still remember your past home as well. This is what Minfong Ho is trying to display in the ending paragraph of the story, ""Winter Hibiscus”. In the story, a teenage girl named Saeng moved from Vietnam to the @LOCATION2 She has various rememberances of her past home while visiting a plant store. She buys a plant that was common in Vietnam and plants it in her garden. The last paragraph of the story says “In the spring, when the snow melt and the geese return and this hibiscus is budding, then I will take that driving test again”. This shows Saeng’s desire to fit in with this culture, by taking the driving test, as well as remember her past, by keeping the flower. This last paragraph summarizes Saeng’s emotion for her old country as well as her determination to succeed here."	2	2		2																						178	9	196	10	0	0	4.550561797752809	19.77777777777778	47	31	12	10	4	25	97	9.9	8.41	7.81	23	8.7	10.17	10.333333333333334	10.7	243
6062	9618	4	The author chooses to end the story with such a paragraph as this in order to show that Saeng has received a new burst of hope from her memories and the newly familiar things in her new home. The combination of the failed driver’s test and being away from her original home caused Saeng to feel much loss. While Saeng is in the flower shop, “aware of loss so deep and strong that it stung Saeng’s eyes now swept over her. “Through the rest of the story Saeng is shown to still be down, and the reader is left unsure if she will be alright. Then her recovery begins with the presence of familiar things. “The pungent small of bitter melon wafted out, and Saeng’s mouth watered,”, “The winter hibiscus’ was in the ground now”, and, “overhead a flock of Canada geese flew by, their faints honks clear and – yes – Familiar to Saeng now.” This realization that the geese are familiar to her gives way to new realization and a new wave of hope. She recognizes the fact that she is now coming to be familiar with many of the things about her new hone that she had initially thought to be strange. This is what the final paragraph explains to the reader. It summarizes Saeng’s newfound hope that she will learn to not just live in her new home, but to thrive in it.	3	3		3																						237	12	254	9	0	0	4.30801687763713	19.75	58	25	22	15	9	27	123	15.8	7.85	7.92	26	13.0	15.25	18.0	11.5	299
6066	9622	4	The  last  paragraph of the story.” Winter Hibiscus by Minfong  Ho is important to the story. The last paragraph leaves a definite ending so the  reader  knows  exactly what is going to happen  in the future.  This  paragraph is a very significant ending to the story because it represent s symbols in the story. The author concludes the hibiscus is important to her. Along with the hibiscus it also shows that the  geese  and the melting of the snow represent a fresh  start  and a new  beginning . These symbols  are  important  to her in that they  give  her a chance to start over and she sees that in the  winter  hibiscus.	2	2		2																						112	6	138	0	0	0	3.887218045112782	22.166666666666668	27	11	11	3	3	8	64	10.7	8.3	7.01	11	11.9	10.68	10.333333333333334	12.3	183
6067	9623	4	Saeng was very distrout knowing that she didn’t passed the test the test and to her she felt as though it was a let down or disappointment. This sentence shows the ambition and determination that Saeng has so that she will be able to pass this test.	1	1		1																						47	2	49	0	0	0	4.319148936170213	23.5	10	7	2	1	3	5	29	10.7	7.84	8.16	5	8.9	11.95	13.25	0.0	60
6069	9625	4	"I feel that the author concludes the story with this phrase as a way of showing how Saeng is adopting to her new home, yet still valueing her old one. The gist of the sentence is that Saeng will take her test again in the spring, showing her perseverance. However, the sentence also shows how Saeng is coming to know her new land. She says,”when the snows melt and the geese return” this is important because the geese and the snow are of her now home, and she now accepts them. However, Saeng also says, “when this hibiscus is budding,""  and this shows how Saeng is still thinking of her old home, because the plant is her connection to the memories of Vietnam.  Therefore, I feel that the author is showing how Saeng is growing up and living with changes in her life by ending the story with this statement."	3	2		3																						150	6	168	10	0	0	4.342105263157895	25.333333333333332	34	23	6	10	6	18	88	14.2	8.08	7.44	15	11.5	13.33	11.2	10.4	195
6078	9634	4	Why I think the author concludes the story with this paragraph is because I think it’s showing how much it actually means to her and shows that she does actually care And by showing that she care's will take the test again.	1	1		1																						42	1	44	0	0	0	4.333333333333333	42.0	5	10	1	3	2	2	27	20.0	8.49	8.35	4	16.1	17.75	23.0	0.0	55
6089	9645	4	"The author concludes the story with his paragraph to show how people can regain their determination. In the beginning of the story, Saeng is disheartened after failing her driving test. When she sees the Hibiscus, she is filled with memories of the past and weeps. Her mother's kindness causes Saeng to draw strength from the flower, which, as her mother says, is ""strong enough to make it through the cold months here."" @CAPS1 that the Hibiscus will bud in the spring, Saeng renews her determination to pass the test."	2	2		2																						89	5	103	6	0	0	4.831460674157303	17.8	25	15	2	3	1	13	49	12.4	10.04	8.29	13	9.6	10.72	12.875	10.7	124
6099	9655	4	"In the story ""Winter Hibiscus"" is about this girl named Saeng and her mother and grandmother. Flowers are beauitful to them they plant them all day. Picking them, @CAPS1 them. “Saeng did not dare look her mother in the eye”"	0	0		0																						40	4	46	1	0	0	4.6	10.0	13	5	1	0	2	11	21	6.9	7.53	7.06	5	4.9	6.32	6.333333333333333	7.8	52
6110	9666	4	The author concludes the story with this paragraph because everything in the story will repeat such as the season changes and you will not be able to plant nor grow in the winter. For example she talked about how the plants are nothing like her home, but she has to adapt to the fact she’s not home, & adjust to her environment. I say this because if she doesnt she will just be an unhappen person worrying about where she came from.	1	1		1																						82	3	88	2	0	0	4.2926829268292686	27.333333333333332	13	12	3	3	4	6	54	12.6	7.78	7.51	8	10.3	12.78	15.333333333333334	10.5	107
6112	9668	4	when they come back Saeng vowed silently to herself In the spring when the snows melts and the geese return and this hibicus budding then I will take that test again	1	1		1																						31	1	31	0	0	0	4.354838709677419	31.0	7	4	1	4	2	2	19	14.6	8.54	8.74	3	10.7	13.69	16.5	0.0	37
6114	9670	4	This was a very interesting story and it snowed all the hardships this young girl has gone through, the author ended it in a very interesting way. When they ended the story I thought to myself how nice it ended. If think the author did a very nice job. She made it so that she snowed all the hard ships that Saeng had gone through, as if they were the harsh winter. Then as the author said, “as the snow melts away;…”,I think this shows how even though Saeng  problems seem never ending and harsh, that one day they will be gone and things will become beautiful again, like the flower budding. In the spring time. Also she did a nice job because throughout the story I could feel her pain. I felt as if I was there with her because of her use of descriptive  words like, “exploding, shock ,intense” and others to describe how much of a sudden was everything was. Then when she ended it, it was like she was showing us Saeng’s hope for a better future, even though things aren’t the way they were back home!	2	3		3																						192	9	215	11	1	0	4.184615384615385	21.666666666666668	34	28	14	16	4	26	117	9.2	6.67	6.5	11	6.9	8.94	10.4	7.8	237
6121	9678	4	The author concludes the story with this paragraph because it shows that Saeng is starting to take responsibility for her school work now. For example in the story she made it obvious she cared more about the garden then school.	0	0		0																						40	2	42	0	0	0	4.725	20.0	11	6	1	3	0	3	24	10.8	9.86	8.18	6	8.7	11.0	11.5	0.0	57
6125	9682	4	The author concludes the story with that paragraph because she has a better state of mind because she found  a  flower that reminds her of homeland. She is afraid that her parents  are going to be mad at for not passing the test, therefore she  buys  a  flower  that she sees for it remind. When she gets home and telling her mom how much she paid for the flower  and  how  she  didn’t  pass, mother is upset for only a second, then she is understanding of what her  daughter is going throgh. By the end  of the story she has  more confidence  that  she  will succeed next time.	2	2		2																						108	4	133	3	0	0	3.738095238095238	31.5	22	15	6	5	2	9	67	11.8	6.97	7.61	10	12.6	11.54	12.75	7.2	157
6127	9684	4	The author concludes the story with this paragraph to tell the reader that Saeng is going to take the test again. The author wants to tell the reader because she fail the test she know what she did wrong and shes going to correct. For example when Saeng said, “then I will take that test again.” Saeng feel sorry she fail a simple test so she wants to retake the test when the snow melts.	1	1		1																						75	5	80	1	0	0	4.1866666666666665	15.0	18	17	2	2	1	7	39	10.8	6.91	6.56	4	8.3	10.53	12.833333333333334	6.4	91
6133	9690	4	Why I think the auther concludes the last paragraph in the story because it's kind of like a moral to the story. Shes trying to say that when the time is right she will try it again untill she gets it right. Without this last paragraph you wouldn't be able to understand the message of the story.	0	0		0																						57	3	63	0	0	0	4.2105263157894735	19.0	7	7	6	5	0	3	38	7.9	6.62	6.8	5	7.2	7.6	8.833333333333334	6.4	72
6138	9695	4	The Author ends the story off with that paragraph because when dealing with flowers and nature. Then are seasons  when the flowers don’t  come up like winter for example. The paragraph is saying in the spring when the winter is over she tells her self that she will look forward to seeing all the plant that nature has to give.	0	0		0																						60	3	65	0	0	0	4.32258064516129	20.666666666666668	15	10	0	2	1	5	35	9.4	8.12	7.52	7	7.6	8.67	10.333333333333334	6.4	80
6142	9699	4	The author, Minfong Ho, concludes the story with Saeng vowing to take the test in the spring when the geese return, the snow melts, and the hibiscus is budding. This is done to symbolize the many things that Saeng learnt. For example, she learnt she has to adjust to changes in her life and becoming familiar to the new things. The geese and snow she admits are the things that were “strange before [and] had become familiar to her now”. The hibiscus also represents something and has a reason for being included in the last paragraph. It represents the ability to overcome obstacles, connection to the past, and comfort when needed. The last paragraph symbolizes many things, and if you look into it deeply, you will learn what Saeng learnt.	2	2		2																						130	6	147	9	0	0	4.7153846153846155	21.666666666666668	31	23	9	2	7	19	75	10.1	9.28	7.6	19	8.2	10.52	10.166666666666666	11.2	180
6165	9722	4	The auther concluded the story with this because just like the flower it will come back a new, and so will she. The flower represents determination, using the flower to show her own determination. Even though she failed her drivers test she still has determination to take it, and try to pass again. Even with failur she is determained to get over it. Just like the flower losing its buds in the winter and growing them back. Saeng is frogeting her failure and coming back a new.	2	2		2																						87	6	96	3	0	0	4.517241379310345	14.5	15	17	3	10	4	14	56	7.1	7.71	7.08	12	6.6	8.1	7.416666666666666	9.3	122
6167	9724	4	In the story “winter Hibiscus” by Minfong Ho the character Saeng had many obstacles to overcome. In the end of the story Saeng vows to herself when winter is over she will take the test again. I think that the author ends the story like that to foreshadow the future for Saeng It seems like the author is trying to say Saeng will be taking time to adjust to her new lifestyle and focus on other things before she takes the test again. It also shows that Saeng has a lot of courage to complete what she has once failed. The perserverance in Saeng shows and will help her overcome many things in her new country. In the text when Saeng's mother starts to dig a hole she says “let me help mother.” This shows her love towards her mother and her care for the plant that represents her pastime. So in the end of the story adding the vow was a good way to show Saeng’s commitment.	2	3		3																						168	8	176	0	0	0	4.208333333333333	21.0	45	30	7	5	3	15	94	10.4	7.09	7.83	16	7.9	11.03	13.5	8.4	209
6168	9725	4	The author puts that excerpt into the text to show the reader that she had made a mistake an will fix it in the future. I believe the other put it in  for that reason because in the text Saeng began to cry when she admitted to her mother that she failed the test. This shows that she was really upset by the fact she failed an hopes to improve in the near future. Another reason why I believe ‘the author concludes the story like this is to lead the reader on to believe Saeng is going to get over beign home sick.	1	1		1																						103	4	108	0	0	0	3.9615384615384617	26.0	21	20	3	1	0	7	62	10.2	5.93	6.6	4	9.8	10.71	13.25	8.1	133
